文书标题,公示日期,详情url,决定书文号,被处罚个人姓名,被处罚个人单位,被处罚机构名称,机构负责人,案由,处罚依据,处罚内容,做出处罚机构的名称,处罚日期
中国银监会陕西监管局行政处罚信息公开表,2017-05-22,http://www.cbrc.gov.cn/chinese/home/docView/D3B16BCC8F52472B9BA93BC24CF57691.html,陕银监罚决字〔2017〕3号,          董应超,null,           ——,——,在浦发银行西安分行以存单质押贷款方式虚增存贷款，违反审慎经营规则案中负直接责任。,《中华人民共和国银行业监督管理法》第四十八条,警告,中国银监会陕西监管局,2017-5-4
中国银监会陕西监管局行政处罚信息公开表,2017-05-22,http://www.cbrc.gov.cn/chinese/home/docView/4D3925CB643744C5B09F74E19C0A235C.html,陕银监罚决字〔2017〕2号,          王毅春,null,           ——,——,在浦发银行西安分行以存单质押贷款方式虚增存贷款，违反审慎经营规则案中负直接责任。,《中华人民共和国银行业监督管理法》第四十八条,警告,中国银监会陕西监管局,2017-5-4
中国银监会陕西监管局行政处罚信息公开表,2017-05-22,http://www.cbrc.gov.cn/chinese/home/docView/D73C4B86CA494E139870B55D1875DAA1.html,陕银监罚决字〔2017〕1号,——,null,上海浦东发展银行股份有限公司西安分行,曹江涛,"以存单质押贷款方式虚增存贷款，违反审慎经营规则。
 ",《中华人民共和国银行业监督管理法》第四十六条,       罚款45万元,中国银监会陕西监管局,2017-5-4
中国银监会新疆监管局行政处罚信息公开表,2017-05-16,http://www.cbrc.gov.cn/chinese/home/docView/3D50AD114A6C44998AB1886C2E8AD93A.html,新银监罚决字〔2017〕13号,赵辉东,null,——,——,被处罚当事人担任中信银行乌鲁木齐分行公司银行部总经理期间，应对该行开展流动资金贷款业务中未严格监督流动资金贷款资金的使用情况、信贷资金被挪用为银行承兑汇票保证金承担管理责任。,《中华人民共和国银行业监督管理法》第四十八条,罚款人民币二万元,中国银监会新疆监管局,2017-5-5
中国银监会新疆监管局行政处罚信息公开表,2017-05-16,http://www.cbrc.gov.cn/chinese/home/docView/815D50010AE3436089156ACAFCD8DA79.html,新银监罚决字〔2017〕14号,王珂,null,——,——,被处罚当事人担任中信银行乌鲁木齐分行担任高新区支行行长期间，应对该行开展流动资金贷款业务中未严格监督流动资金贷款资金的使用情况、信贷资金被挪用为银行承兑汇票保证金承担直接管理责任。,《中华人民共和国银行业监督管理法》第四十八条,罚款人民币二万元,中国银监会新疆监管局,2017-5-5
中国银监会新疆监管局行政处罚信息公开表,2017-05-16,http://www.cbrc.gov.cn/chinese/home/docView/F6CFB8AF1D304FBDA47308A78370E7C0.html,新银监罚决字〔2017〕19号,——,null,中信银行乌鲁木齐分行,王立（主持工作）,被处罚当事人开展流动资金贷款业务中，未严格监督流动资金贷款资金的使用情况、信贷资金被挪用为银行承兑汇票保证金。,《中华人民共和国银行业监督管理法》第四十六条,罚款人民币二十万元,中国银监会新疆监管局,2017-5-5
中国银监会新疆监管局行政处罚信息公开表,2017-05-16,http://www.cbrc.gov.cn/chinese/home/docView/89718E8C6BA544EBAB026A431B3CCEA0.html,新银监罚决字〔2017〕16号,陆宁,null,——,——,被处罚当事人担任浦发银行乌鲁木齐分行南湖路支行客户经理期间，应对该行在开展银行承兑汇票业务中未对贸易背景真实性进行尽职调查、未严格监督票据资金承担直接责任。,《中华人民共和国银行业监督管理法》第四十八条,罚款人民币二万元,中国银监会新疆监管局,2017-5-5
中国银监会新疆监管局行政处罚信息公开表,2017-05-16,http://www.cbrc.gov.cn/chinese/home/docView/61EF61712E774BD69854F7061BBF6C7E.html,新银监罚决字〔2017〕12号,马灿,null,——,——,被处罚当事人担任浦发银行乌鲁木齐分行南湖路支行行长助理（主持工作）期间，应对该行在开展银行承兑汇票业务中未对贸易背景真实性进行尽职调查、未严格监督票据资金承担直接管理责任。,《中华人民共和国银行业监督管理法》第四十八条,罚款人民币二万元,中国银监会新疆监管局,2017-5-5
中国银监会新疆监管局行政处罚信息公开表,2017-05-16,http://www.cbrc.gov.cn/chinese/home/docView/849877A28853473F83675C824A84920E.html,新银监罚决字〔2017〕20号,杨峻,null,——,——,被处罚当事人担任浦发银行乌鲁木齐分行消费及小微金融部总经理期间，应对该行在开展银行承兑汇票业务中未对贸易背景真实性进行尽职调查、未严格监督票据资金承担直接管理责任。,《中华人民共和国银行业监督管理法》第四十八条,罚款人民币二万元,中国银监会新疆监管局,2017-5-5
中国银监会新疆监管局行政处罚信息公开表,2017-05-16,http://www.cbrc.gov.cn/chinese/home/docView/010200B66A7144C487BE3D3652EEDA14.html,新银监罚决字〔2017〕17号,张丽,null,——,——,被处罚当事人担任浦发银行乌鲁木齐分行南湖路支行副行长（主持工作）期间，应对该行在开展银行承兑汇票业务中未对贸易背景真实性进行尽职调查、未严格监督票据资金承担直接管理责任。,《中华人民共和国银行业监督管理法》第四十八条,罚款人民币二万元,中国银监会新疆监管局,2017-5-5
中国银监会新疆监管局行政处罚信息公开表,2017-05-16,http://www.cbrc.gov.cn/chinese/home/docView/124CDBB0863643479B6D42E8F0B45371.html,新银监罚决字〔2017〕18号,钱理丹,null,——,——,被处罚当事人担任浦发银行乌鲁木齐分行行长期间，应对该行票据业务经营的内部管理不到位、票据业务暴露和发现的违法违规行为未有效整改等承担领导责任。,《中华人民共和国银行业监督管理法》第四十八条,警告，并罚款人民币七万元,中国银监会新疆监管局,2017-5-5
中国银监会新疆监管局行政处罚信息公开表,2017-05-16,http://www.cbrc.gov.cn/chinese/home/docView/3250A6B79AD544B086F5805BCC1C7BB4.html,新银监罚决字〔2017〕15号,——,null,浦发银行乌鲁木齐分行,吴晓峰,被处罚当事人在开展银行承兑汇票业务中未对贸易背景真实性进行尽职调查、未严格监督票据资金。,《中华人民共和国银行业监督管理法》第四十六条,罚款人民币二十万元,中国银监会新疆监管局,2017-5-5
中国银监会新疆监管局行政处罚信息公开表,2017-05-16,http://www.cbrc.gov.cn/chinese/home/docView/063A57F54B1C47A19AC9704E04607E4D.html,新银监罚决字〔2017〕11号,张智,null,——,——,被处罚当事人担任华夏银行乌鲁木齐分行中小企业业务专营部客户经理期间，应对该分行在开展流动资金贷款业务中未有效监督信贷资金使用情况承担直接责任。,《中华人民共和国银行业监督管理法》第四十八条,罚款人民币一万元,中国银监会新疆监管局,2017-4-24
中国银监会新疆监管局行政处罚信息公开表,2017-05-16,http://www.cbrc.gov.cn/chinese/home/docView/38E58E9513EE427D8CDC15B23937F220.html,新银监罚决字〔2017〕9号,王立华,null,——,——,被处罚当事人担任华夏银行乌鲁木齐分行中小企业业务专营部副总经理（主持工作）期间，应对该分行在开展流动资金贷款业务中未有效监督信贷资金使用情况承担直接管理责任。,《中华人民共和国银行业监督管理法》第四十八条,罚款人民币二万元,中国银监会新疆监管局,2017-4-24
中国银监会新疆监管局行政处罚信息公开表,2017-05-16,http://www.cbrc.gov.cn/chinese/home/docView/752CD98D810A4C78AFCAA7017841B811.html,新银监罚决字〔2017〕8号,——,null,华夏银行乌鲁木齐分行,杨建彬,被处罚当事人开展流动资金贷款业务中未严格监督信贷资金用途。,《中华人民共和国银行业监督管理法》第四十六条,罚款人民币二十五万元,中国银监会新疆监管局,2017-4-24
中国银监会新疆监管局行政处罚信息公开表,2017-05-16,http://www.cbrc.gov.cn/chinese/home/docView/95BE213EFDE043A88FC04E7907F70E2D.html,新银监罚决字〔2017〕6号,何晓梅,null,——,——,被处罚当事人担任中国工商银行石河子分行副行长期间，应对该分行贷款风险分类不准确承担管理责任。,《中华人民共和国银行业监督管理法》第四十八条,警告,中国银监会新疆监管局,2017-4-24
中国银监会新疆监管局行政处罚信息公开表,2017-05-16,http://www.cbrc.gov.cn/chinese/home/docView/FF8C119719D942D19157379C5B52F180.html,新银监罚决字〔2017〕7号,蔡学德,null,——,——,被处罚当事人担任中国工商银行石河子分行行长期间，应对该贷款风险分类不准确承担管理责任。,《中华人民共和国银行业监督管理法》第四十八条,警告,中国银监会新疆监管局,2017-4-24
中国银监会新疆监管局行政处罚信息公开表,2017-05-16,http://www.cbrc.gov.cn/chinese/home/docView/EB329994ABD74ED19F5AF5B094EA2A92.html,新银监罚决字〔2017〕10号,——,null,中国工商银行石河子分行,蔡学德,贷款风险分类不准确。,《中华人民共和国银行业监督管理法》第四十六条,罚款人民币三十万元,中国银监会新疆监管局,2017-4-24
宁波银监局行政处罚信息公开表,2017-05-10,http://www.cbrc.gov.cn/chinese/home/docView/E3A807E747AE43DB968432FA6301C896.html,甬银监罚决字〔2017〕15号,---,null,中国农业银行股份有限公司宁波市分行,彭超英,个人综合授信贷款贷前调查不尽职；融资顾问费质价不符,《中华人民共和国银行业监督管理法》第四十六条,罚款人民币70万元,宁波银监局,2017-5-3
宁波银监局行政处罚信息公开表,2017-05-10,http://www.cbrc.gov.cn/chinese/home/docView/29DDFC1780214588B47FA77DA6104299.html,甬银监罚决字〔2017〕14号,---,null,中国民生银行股份有限公司宁波分行,万恩平,办理无真实贸易背景的银行承兑汇票业务；信贷资金回流；存贷挂钩；个人贷款贷前调查未尽职,《中华人民共和国银行业监督管理法》第四十六条,罚款人民币90万元,宁波银监局,2017-5-3
宁波银监局行政处罚信息公开表,2017-05-10,http://www.cbrc.gov.cn/chinese/home/docView/DE72D454BA2D4746B743FDBEFDE083DD.html,甬银监罚决字〔2017〕13号,---,null,临商银行股份有限公司宁波分行,刘洪琪,信贷业务违规涉嫌不审慎经营,《中华人民共和国银行业监督管理法》第四十六条,罚款人民币20万元,宁波银监局,2017-5-3
宁波银监局行政处罚信息公开表,2017-05-10,http://www.cbrc.gov.cn/chinese/home/docView/147706A8A6034B30B3A5977E9DDBB36E.html,甬银监罚决字〔2017〕12号,---,null,浙江稠州银行股份有限公司宁波分行,方茁,合规风险管理严重滞后；内部控制严重缺陷；同业业务存在诸多违规操作，部分存在重大风险隐患；向借款人收取委托贷款手续费,《中华人民共和国银行业监督管理法》第四十六条,罚款人民币100万元,宁波银监局,2017-5-3
宁波银监局行政处罚信息公开表,2017-05-10,http://www.cbrc.gov.cn/chinese/home/docView/99880F58DEE3438398FEC302A242CF9D.html,甬银监罚决字〔2017〕11号,---,null,杭州银行股份有限公司宁波分行,潘华富,内部控制存在重大缺陷；票据业务贸易背景不真实；项目贷款初步设计和设计调整的批复等文件的复印件与原件不符,《中华人民共和国银行业监督管理法》第四十六条,罚款人民币60万元,宁波银监局,2017-4-24
宁波银监局行政处罚信息公开表,2017-05-10,http://www.cbrc.gov.cn/chinese/home/docView/F2A397F5507547A28CA91B72AB4DF862.html,甬银监罚决字〔2017〕10号,---,null,象山县农村信用合作联社,谢语诚,授信准入管理不审慎；贷款资金管理不到位，存在以贷还贷、以贷收息问题；员工（含配偶）与信贷客户非正常资金往来；会计业务操作逆程序；偏离服务实体经济导向，存在以贷收费、以贷转存、借贷搭售; 违规购买固定资产等问题,《中华人民共和国银行业监督管理法》第四十六条,罚款人民币220万元,宁波银监局,2017-4-24
宁波银监局行政处罚信息公开表,2017-05-10,http://www.cbrc.gov.cn/chinese/home/docView/A78B51672731445897A8A1F2A68CDD81.html,甬银监罚决字〔2017〕9号,---,null,恒丰银行股份有限公司宁波分行,沈洪辉,存贷挂钩；办理无真实贸易背景的银行承兑汇票业务；办理无真实贸易背景的贴现业务；违规为非标准化债权资产提供担保,《中华人民共和国银行业监督管理法》第四十六条,罚款人民币90万元,宁波银监局,2017-4-24
宁波银监局行政处罚信息公开表,2017-05-10,http://www.cbrc.gov.cn/chinese/home/docView/643BE36B55CA4555893064ED092525CC.html,甬银监罚决字〔2017〕8号,---,null,中国工商银行股份有限公司宁波市分行,俞龙,债务融资顾问费质价不符的不规范经营行为；无法提供房屋抵押登记费发票；个贷资金监控不到位；贷款资金转作银行承兑汇票保证金,《中华人民共和国商业银行法》第七十三条和《中华人民共和国银行业监督管理法》第四十六条,罚款人民币110万元,宁波银监局,2017-4-24
中国银监会浙江监管局行政处罚信息公开表,2017-05-08,http://www.cbrc.gov.cn/chinese/home/docView/0669AA9CD93247E2973B9CB88149CDB9.html, 浙银监罚决字〔2017〕7号, ,null,中国农业银行浙江省分行营业部,朱文达,个人消费贷款资金被挪用；个人消费贷款资金流入股市；贷款资金回流转存、为银行承兑汇票业务提供质押担保,《中华人民共和国商业银行法》第三十五条；《个人贷款管理暂行办法》第三十五条；《中华人民共和国银行业监督管理法》第四十六条；《中国银监会办公厅关于进一步加强信贷管理的通知》（银监办发〔2009〕221号）；《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发〔2011〕206 号）,罚款人民币90万元,中国银监会浙江监管局,2017-4-26
   中国银监会山东监管局行政处罚信息公开表,2017-05-02,http://www.cbrc.gov.cn/chinese/home/docView/B39747C23ECC4EBC881D01C9B8C73CFE.html,鲁银监罚决字〔2017〕7号, ,null,济南农村商业银行股份有限公司,马立军,通过滚动发放存单质押贷款方式虚增存贷款、员工账户违规与企业（个人）账户进行资金往来、未按监管规定制定相关制度、以自有资金打包处置不良贷款。,《中华人民共和国银行业监督管理法》第四十六条,责令改正，罚款一百三十万元,   中国银监会山东监管局,2017-4-26
 中国银监会山东监管局行政处罚信息公开表,2017-05-02,http://www.cbrc.gov.cn/chinese/home/docView/948BE0DA9E794EC69FFFCDD0527878E1.html,鲁银监罚决字〔2017〕6号, ,null,"中国民生银行股份有限公司济南分行
 ",张春方,信贷管理不尽职、票据业务管理不尽职、员工行为管理存在漏洞。,《中华人民共和国银行业监督管理法》第四十六条,罚款一百三十万元, 中国银监会山东监管局,2017-4-26
中国银监会山东监管局行政处罚信息公开表,2017-05-02,http://www.cbrc.gov.cn/chinese/home/docView/37CFE04629C34C26A7BBBDFC5618FC07.html,鲁银监罚决字〔2017〕5号, ,null,"中国工商银行潍坊奎文支行
 ",张磊,罚没款支出未纳入账内核算，省分行相应报表中反映不出该行有关账务处理，不能如实反映相关财务状况。,《中华人民共和国银行业监督管理法》第四十六条,罚款二十万元,中国银监会山东监管局,2017-4-26
   中国银监会山东监管局行政处罚信息公开表,2017-05-02,http://www.cbrc.gov.cn/chinese/home/docView/D4515A3C897F45EC859AA8CC58F061D7.html,鲁银监罚决字〔2017〕4号, ,null,"中国工商银行山东省分行
 ",付捷,对信用风险理财投资的投资后管理不到位，理财资金未按约定用途使用，违规流向房地产开发企业,《中华人民共和国银行业监督管理法》第四十六条,罚款四十万元,   中国银监会山东监管局,2017-4-26
中国银监会山东监管局行政处罚信息公开表,2017-05-02,http://www.cbrc.gov.cn/chinese/home/docView/EDDDF32442B84F34BCF77EA724D861AE.html,鲁银监罚决字〔2017〕3号, ,null,中国工商银行山东省分行,付捷,未按监管规定对项目贷款进行授信审查审批、项目贷款后评估及监督检查不到位,《中华人民共和国银行业监督管理法》第四十六条,罚款五十万元,中国银监会山东监管局,2017-4-26
中国银监会山东监管局行政处罚信息公开表,2017-05-02,http://www.cbrc.gov.cn/chinese/home/docView/CFDCE6549F794C43B9AFAE46C84A23CE.html,鲁银监罚决字〔2017〕2号, ,null,"中国农业银行山东省分行营业部
 ",翟世勇,管理不到位，违规接受同业金融机构发放的委托贷款进行审批，委托贷款资金使用监管不到位。,《中华人民共和国银行业监督管理法》第四十六条,罚款三十五万元,中国银监会山东监管局,2017-4-26
   中国银监会山东监管局行政处罚信息公开表,2017-05-02,http://www.cbrc.gov.cn/chinese/home/docView/13227EB3FDD0446C810124B0C7CD8207.html,鲁银监罚决字〔2017〕1号, ,null,"中国农业银行山东省分行营业部
 ",翟世勇,"管理粗放，在实际业务办理中未严格履行贷前尽职调查、贷后尽职管理职责。
 ",《中华人民共和国银行业监督管理法》第四十六条,罚款二十万元,   中国银监会山东监管局,2017-4-26
   中国银监会山东监管局行政处罚信息公开表,2017-05-01,http://www.cbrc.gov.cn/chinese/home/docView/9125EDBEB0E74B95BD9D29A493B2ECE4.html,鲁银监罚决字〔2017〕7号, ,null,济南农村商业银行股份有限公司,马立军,通过滚动发放存单质押贷款方式虚增存贷款、员工账户违规与企业（个人）账户进行资金往来、未按监管规定制定相关制度、以自有资金打包处置不良贷款。,《中华人民共和国银行业监督管理法》第四十六条,责令改正，罚款一百三十万元,   中国银监会山东监管局,2017-4-26
中国银行业监督管理委员会上海监管局行政处罚信息公开表,2017-04-28,http://www.cbrc.gov.cn/chinese/home/docView/C623DDF655AC43AF9CE46B769C28682B.html,沪银监罚决字〔2017〕16号,——,null,招商银行股份有限公司上海分行,李德林,2016年，该行以“投资资产管理计划—发放信托贷款”为通道，向××投资管理有限公司放款，部分资金用于支付土地出让金。,《金融违法行为处罚办法》第十六条第（四）项,罚没合计人民币420.3428万元,中国银行业监督管理委员会上海监管局,2017-4-11
中国银行业监督管理委员会上海监管局行政处罚信息公开表,2017-04-28,http://www.cbrc.gov.cn/chinese/home/docView/BED649F8579F4B3694550EEB3F5CE641.html,沪银监罚决字〔2017〕15号,——,null,中国工商银行股份有限公司票据营业部上海分部,宋爱玲,2014年，该单位在与3家银行进行资金融通时实质未见票，已脱离票据业务实质。同时，该单位超授权开展“他行代理保管票据业务”，内部控制严重违反审慎经营规则。,《中华人民共和国银行业监督管理法》第四十五条第（三）项、第四十六条第（五）项,责令改正，罚没合计人民币487.4168万元,中国银行业监督管理委员会上海监管局,2017-4-11
中国银行业监督管理委员会上海监管局行政处罚信息公开表,2017-04-28,http://www.cbrc.gov.cn/chinese/home/docView/E6D317A997144AFAA3FA7F9798D9A6F1.html,沪银监罚决字〔2017〕14号,——,null,上海金山惠民村镇银行有限责任公司枫泾支行,傅定川,2015年，该行在发放两笔个人贷款时，客户经理伪造支付凭证。且该行在贷后检查中未发现上述问题，对员工行为监督和排查不力。,《中华人民共和国银行业监督管理法》第四十六条第（五）项、《个人贷款管理暂行办法》第四十二条第（七）项,责令改正，并处罚款人民币20万元,中国银行业监督管理委员会上海监管局,2017-4-10
中国银行业监督管理委员会上海监管局行政处罚信息公开表,2017-04-28,http://www.cbrc.gov.cn/chinese/home/docView/54FD5DC9F4CF426AB72FF98F5B296435.html,沪银监罚决字〔2017〕13号,——,null,上海金山惠民村镇银行有限责任公司,董克,截至2016年2月末，该行部分前中后台岗位未实际分离。2015年，该行在对下属枫泾支行的检查中，未能发现两笔个人贷款支付凭证系伪造，贷款未按合同约定支付。,《中华人民共和国银行业监督管理法》第四十六条第（五）项,责令改正，并处罚款人民币20万元,中国银行业监督管理委员会上海监管局,2017-4-1
中国银行业监督管理委员会上海监管局行政处罚信息公开表,2017-04-28,http://www.cbrc.gov.cn/chinese/home/docView/D8D4527505E8419991C9C6007886F6B4.html,沪银监罚决字〔2017〕12号,——,null,民生银行股份有限公司上海广场支行,张湘云,2012年至2013年，该支行未能通过有效的内部控制措施发现并纠正其员工的私售行为，内部控制严重违反审慎经营规则。,《中华人民共和国银行业监督管理法》第四十六条第（五）项,责令改正，并处罚款人民币50万元,中国银行业监督管理委员会上海监管局,2017-4-1
中国银行业监督管理委员会上海监管局行政处罚信息公开表,2017-04-28,http://www.cbrc.gov.cn/chinese/home/docView/6F5C21508E254E07AAB18522360CAE12.html,沪银监罚决字〔2017〕11号,——,null,民生银行股份有限公司上海杨浦支行,万雪峰,2012年，该支行未能通过有效的内部控制措施发现并纠正其员工的私售行为，内部控制严重违反审慎经营规则。,《中华人民共和国银行业监督管理法》第四十六条第（五）项,责令改正，并处罚款人民币30万元,中国银行业监督管理委员会上海监管局,2017-4-1
中国银行业监督管理委员会上海监管局行政处罚信息公开表,2017-04-28,http://www.cbrc.gov.cn/chinese/home/docView/8D49DC10A40F4561B613237325D5D9D2.html,沪银监罚决字〔2017〕10号,——,null,民生银行股份有限公司上海市南支行,杨迅,2012年，该支行未能通过有效的内部控制措施发现并纠正其员工的私售行为，内部控制严重违反审慎经营规则。,《中华人民共和国银行业监督管理法》第四十六条第（五）项,责令改正，并处罚款人民币35万元,中国银行业监督管理委员会上海监管局,2017-4-1
中国银行业监督管理委员会上海监管局行政处罚信息公开表,2017-04-28,http://www.cbrc.gov.cn/chinese/home/docView/18E7C46734D942FB99971297FB757F36.html,沪银监罚决字〔2017〕9号,——,null,民生银行股份有限公司上海世纪公园支行,张颖,2012年，该支行未能通过有效的内部控制措施发现并纠正其员工的私售行为，内部控制严重违反审慎经营规则。,《中华人民共和国银行业监督管理法》第四十六条第（五）项,责令改正，并处罚款人民币40万元,中国银行业监督管理委员会上海监管局,2017-4-1
广西银监局行政处罚信息公开表,2017-04-28,http://www.cbrc.gov.cn/chinese/home/docView/74431C53F560485BB455AEF822CFB2F5.html,桂银监罚决字〔2017〕5号, ,null,广西壮族自治区农村信用社联合社,韦家干,违规购买持有低评级企业债,《中华人民共和国银行业监督管理法》第四十六条第（五）项,罚款人民币30万元,广西银监局,2017-4-6
中国银监会浙江监管局行政处罚信息公开表,2017-04-28,http://www.cbrc.gov.cn/chinese/home/docView/F5D577D2AFE642C4A660EF58B4C56CE2.html, 浙银监罚决字〔2017〕6号, ,null,杭州银行萧山支行,金旭旻,办理无真实贸易背景银行承兑汇票业务；贷款资金回流转存、为银行承兑汇票业务提供质押担保；贷款管理严重不审慎；违规保管客户物品,《中华人民共和国银行业监督管理法》第二十一条、第四十六条；《中华人民共和国票据法》第十条；《中华人民共和国商业银行法》第三十五条；《个人贷款管理暂行办法》第三十五条；《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发〔2011〕206 号）；《中国银监会办公厅关于加强银行承兑汇票业务监管的通知》（银监办发〔2012〕286 号）；《中国银监会办公厅关于进一步加强银行业务和员工行为管理的通知》（银监办发〔2014〕57 号）,罚款人民币100万元,中国银监会浙江监管局,2017-4-12
中国银行业监督管理委员会湖北监管局行政处罚信息公开表,2017-04-27,http://www.cbrc.gov.cn/chinese/home/docView/7C5DC7C001184E7B9DE03A0CFF0AF79A.html,鄂银监罚决字〔2017〕13号,——,null,"中国邮政储蓄银行股份有限公司
武汉市分行",黄顺进,贷后检查不尽职导致部分小额再就业贷款资金被客户挪用至购买理财产品、贷后管理不尽职导致个人商务贷款转作定期存款再作存单质押贷款。,《中华人民共和国银行业监督管理法》第四十六条第（五）项、《中华人民共和国行政处罚法》第二十七条第（一）项,罚款人民币30万元,中国银行业监督管理委员会湖北监管局,2017-4-27
中国银行业监督管理委员会湖北监管局行政处罚信息公开表,2017-04-27,http://www.cbrc.gov.cn/chinese/home/docView/BD85DA93E525486DB51E05DB5FF8EF87.html,鄂银监罚决字〔2017〕11号,——,null,兴业银行股份有限公司武汉分行,曾晓阳,贷后管理不到位导致贷款资金被挪用、违规转让信贷资产。,《中华人民共和国银行业监督管理法》第四十六条第（五）项、《中华人民共和国行政处罚法》第二十七条第（一）项,罚款人民币40万元,中国银行业监督管理委员会湖北监管局,2017-4-27
中国银行业监督管理委员会湖北监管局行政处罚信息公开表,2017-04-27,http://www.cbrc.gov.cn/chinese/home/docView/AAB66B7971F94AA2AED13CC11CB6CF7F.html,鄂银监罚决字〔2017〕14号,——,null,武汉农村商业银行,徐小建,未按照监管规定检查、监督流动资金贷款的使用情况。,《中华人民共和国银行业监督管理法》第四十六条第（五）项、《中华人民共和国行政处罚法》第二十七条第（一）项,罚款人民币20万元,中国银行业监督管理委员会湖北监管局,2017-4-27
中国银行业监督管理委员会湖北监管局行政处罚信息公开表,2017-04-27,http://www.cbrc.gov.cn/chinese/home/docView/CE0BF29253BC497BB0EF681BAFA38593.html,鄂银监罚决字〔2017〕12号,——,null,湖北银行股份有限公司,陈大林,贷后管理不到位导致贷款资金被挪用、办理银行承兑汇票贴现业务时对增值税发票审查不严。,《中华人民共和国银行业监督管理法》第四十六条第（五）项、《中华人民共和国行政处罚法》第二十七条第（一）项,罚款人民币40万元,中国银行业监督管理委员会湖北监管局,2017-4-27
中国银行业监督管理委员会湖北监管局行政处罚信息公开表,2017-04-26,http://www.cbrc.gov.cn/chinese/home/docView/5A9246DD60BC4563A96E739571712488.html,鄂银监罚决字〔2017〕10号,——,null,中国农业银行股份有限公司湖北省分行,朱正罡,"未按照监管规定检查和监督贷款的使用情况导致贷款被挪用为银行承兑汇票保证金、未按照监管规定检查和监督流动资金贷款的使用情况,以及未按照监管规定将贷款资金及时足额划拨至代理行指定的账户导致资金支付管理不到位。",《中华人民共和国银行业监督管理法》第四十六条第（五）项、《中华人民共和国行政处罚法》第二十七条第（一）项,罚款人民币60万元,中国银行业监督管理委员会湖北监管局,2017-4-26
中国银行业监督管理委员会湖北监管局行政处罚信息公开表,2017-04-26,http://www.cbrc.gov.cn/chinese/home/docView/F10F6DD979594F8E87C05DD3E53CA240.html,鄂银监罚决字〔2017〕7号,——,null,中国民生银行股份有限公司武汉分行,杨德,贷后管理不到位导致贷款资金回流借款人账户、贷后管理不到位导致个人消费贷款资金部分用于支付购房首付款位。,《中华人民共和国银行业监督管理法》第四十六条第（五）项、《中华人民共和国行政处罚法》第二十七条第（一）项,罚款人民币40万元,中国银行业监督管理委员会湖北监管局,2017-4-26
中国银行业监督管理委员会湖北监管局行政处罚信息公开表,2017-04-26,http://www.cbrc.gov.cn/chinese/home/docView/B461B43EFA8446639DA52EB12CA6E6E7.html,鄂银监罚决字〔2017〕9号,——,null,中国工商银行股份有限公司湖北省分行,王芝斌,贷款未落实抵押担保及还款计划、超标准收费。,《中华人民共和国银行业监督管理法》第四十六条第（五）项、《中华人民共和国行政处罚法》第二十七条第（一）项,罚款人民币40万元,中国银行业监督管理委员会湖北监管局,2017-4-26
中国银行业监督管理委员会湖北监管局行政处罚信息公开表,2017-04-26,http://www.cbrc.gov.cn/chinese/home/docView/7A252611769F47409A76A88088EA6625.html,鄂银监罚决字〔2017〕8号,——,null,"上海浦东发展银行股份有限公司
武汉分行",黄旭东,贷后管理不到位导致贷款资金部分用于购买理财产品、贷后管理不到位导致贷款资金回流借款人账户。,《中华人民共和国银行业监督管理法》第四十六条第（五）项、《中华人民共和国行政处罚法》第二十七条第（一）项,罚款人民币40万元,中国银行业监督管理委员会湖北监管局,2017-4-26
中国银行业监督管理委员会上海监管局行政处罚信息公开表,2017-04-21,http://www.cbrc.gov.cn/chinese/home/docView/CC512921EA8A4660ABC9C065A66A0941.html,沪银监罚决字〔2017〕8号,——,null,中国银行股份有限公司上海市南京东路支行,赵俊,"2016年4月,该支行将金融许可证遗失，导致未能在营业场所显著位置公示金融许可证。",《金融许可证管理办法》第十六条第（四）项,责令限期改正，给予警告,中国银行业监督管理委员会上海监管局,2017-3-27
中国银行业监督管理委员会上海监管局行政处罚信息公开表,2017-04-21,http://www.cbrc.gov.cn/chinese/home/docView/8AD04F25073148E7A3DCAFE22B84086B.html,沪银监罚决字〔2017〕7号,——,null,恒生银行（中国）有限公司,李慧敏,2014年，该行超授权审批××进出口有限公司贸易融资临时额度。同时，该行未能及时发现并纠正××有限公司以化整为零的方式规避贷款人受托支付，违反了固定资产贷款受托支付的规定。,《中华人民共和国银行业监督管理法》第四十六条第（五）项、《流动资金贷款管理暂行办法》第三十九条第（五）项、《固定资产贷款管理暂行办法》第三十九条第（六）项,责令改正，并处罚款人民币40万元,中国银行业监督管理委员会上海监管局,2017-3-24
"中国银行业监督管理委员会
四川监管局行政处罚信息公开表",2017-04-18,http://www.cbrc.gov.cn/chinese/home/docView/A617D493C8754A668BED4A4C9853F5C3.html,川银监罚字〔2017〕14号,  金敬泰  KIM KYUNG TAE,null, , ,任友利银行（中国）有限公司成都分行市场部负责人期间，对该分行贷款发放及贷后管理严重失职，导致部分贷款被挪用，严重违反审慎经营规则等违法违规行为承担直接管理责任,《中华人民共和国银行业监督管理法》第四十八条第（二）项,     警告并罚款七万元人民币,"中国银行业监督管理委员会
四川监管局",2017-3-23
